[2021-12-22 10:00:11,374][train.py][INFO] start training!
[2021-12-22 10:00:21,844][train.py][INFO] epoch:22/25, 9th , loss: 0.06814470142126083
[2021-12-22 10:00:21,894][train.py][INFO] epoch:22/25, 11th , loss: 0.0991211086511612
[2021-12-22 10:00:21,934][train.py][INFO] epoch:23/25, 1th , loss: 0.04414970800280571
[2021-12-22 10:00:21,984][train.py][INFO] epoch:23/25, 3th , loss: 0.05419399216771126
[2021-12-22 10:00:22,034][train.py][INFO] epoch:23/25, 5th , loss: 0.05510896444320679
[2021-12-22 10:00:22,084][train.py][INFO] epoch:23/25, 7th , loss: 0.021516259759664536
[2021-12-22 10:00:22,144][train.py][INFO] epoch:23/25, 9th , loss: 0.02814437448978424
[2021-12-22 10:00:22,194][train.py][INFO] epoch:23/25, 11th , loss: 0.03231348469853401
[2021-12-22 10:00:22,224][train.py][INFO] epoch:24/25, 1th , loss: 0.024492178112268448
[2021-12-22 10:00:22,274][train.py][INFO] epoch:24/25, 3th , loss: 0.03254975751042366
[2021-12-22 10:00:22,324][train.py][INFO] epoch:24/25, 5th , loss: 0.0121573805809021
[2021-12-22 10:00:22,374][train.py][INFO] epoch:24/25, 7th , loss: 0.020270630717277527
[2021-12-22 10:00:22,424][train.py][INFO] epoch:24/25, 9th , loss: 0.08668915182352066
[2021-12-22 10:00:22,474][train.py][INFO] epoch:24/25, 11th , loss: 0.04447762295603752
[2021-12-22 10:00:35,205][train.py][INFO] finish training!
